 mode no    eigenvalue   Sum(1/eigenvalue)
         547   4.6351728       96.151703    
         548   4.6329918       96.367546    
         549   4.6283360       96.583603    
         550   4.6268706       96.799728    
         551   4.6212869       97.016121    
         552   4.6185856       97.232635    
         553   4.6177683       97.449188    
         554   4.6136298       97.665939    
         555   4.6076121       97.882973    
         556   4.6063294       98.100067    
         557   4.6059012       98.317177    
         558   4.6027236       98.534439    
         559   4.5999780       98.751831    
         560   4.5968099       98.969376    
         561   4.5949144       99.187004    
         562   4.5928760       99.404732    
         563   4.5903821       99.622581    
         564   4.5895057       99.840469    
         565   4.5828171       100.05868    
         566   4.5803738       100.27700    
         567   4.5798488       100.49535    
         568   4.5774693       100.71381    
         569   4.5731783       100.93247    
         570   4.5674767       101.15141    
         571   4.5605373       101.37068    
         572   4.5567017       101.59014    
         573   4.5553699       101.80966    
         574   4.5526676       102.02931    
         575   4.5501175       102.24908    
         576   4.5416942       102.46927    
         577   4.5384154       102.68961    
         578   4.5372396       102.91001    
         579   4.5345054       103.13054    
         580   4.5336843       103.35111    
         581   4.5274625       103.57198    
         582   4.5261550       103.79292    
         583   4.5240588       104.01396    
         584   4.5208888       104.23516    
         585   4.5197506       104.45641    
         586   4.5148931       104.67790    
         587   4.5116262       104.89955    
         588   4.5105948       105.12125    
         589   4.5089145       105.34304    
         590   4.5079689       105.56487    
         591   4.5030599       105.78694    
         592   4.5017152       106.00908    
         593   4.4950433       106.23154    
         594   4.4917955       106.45417    
         595   4.4887347       106.67695    
         596   4.4850340       106.89991    
         597   4.4804101       107.12310    
         598   4.4783349       107.34640    
         599   4.4770932       107.56976    
         600   4.4738851       107.79327    
         601   4.4683957       108.01707    
         602   4.4667430       108.24094    
         603   4.4625993       108.46503    
         604   4.4578257       108.68935    
         605   4.4564776       108.91375    
         606   4.4534369       109.13830    
         607   4.4479742       109.36312    
         608   4.4453330       109.58807    
         609   4.4428186       109.81316    
         610   4.4402013       110.03837    
         611   4.4377785       110.26370    
         612   4.4335761       110.48925    
         613   4.4290519       110.71503    
         614   4.4283156       110.94086    
         615   4.4244151       111.16688    
         616   4.4189405       111.39317    
         617   4.4173436       111.61955    
         618   4.4109826       111.84626    
         619   4.4103599       112.07300    
         620   4.4076309       112.29988    
         621   4.4037986       112.52695    
         622   4.4036198       112.75404    
         623   4.3990936       112.98136    
         624   4.3957772       113.20885    
         625   4.3939958       113.43644    
         626   4.3902216       113.66422    
         627   4.3873954       113.89214    
         628   4.3855920       114.12016    
         629   4.3823833       114.34835    
         630   4.3786507       114.57673    
         631   4.3773856       114.80518    
         632   4.3747773       115.03376    
         633   4.3741312       115.26237    
         634   4.3721461       115.49110    
         635   4.3699627       115.71993    
         636   4.3655400       115.94900    
         637   4.3606753       116.17832    
         638   4.3601389       116.40767    
         639   4.3568063       116.63719    
